Datetime,Utemp_F,Uhumi,Rtemp_F,Rhumi
3/28/17 08:53PM,35.1,96,46,35
3/28/17 09:53PM,35.1,92,45,35
3/28/17 10:53PM,34,96,46,35
3/28/17 11:53PM,33.1,96,45,35
3/29/17 12:53AM,32,100,48,34
3/29/17 01:53AM,32,96,48,34
3/29/17 02:53AM,30.9,96,48,34
3/29/17 03:53AM,32,88,48,34
3/29/17 04:53AM,30.9,96,47,34
3/29/17 05:53AM,30,92,46,35
3/29/17 06:53AM,30.9,96,46,35
3/29/17 07:53AM,32,96,44,34
3/29/17 08:03AM,32,96,45,35
3/29/17 08:09AM,32,100,45,35
3/29/17 08:53AM,36,93,46,35
3/29/17 09:53AM,37.9,93,47,34
3/29/17 10:02AM,37.9,97,47,34
3/29/17 10:11AM,39,93,47,34
3/29/17 10:53AM,39.9,86,47,34
3/29/17 11:53AM,41,82,47,34
3/29/17 12:53PM,44.1,71,48,34
3/29/17 01:53PM,43,71,47,34
3/29/17 02:53PM,44.1,68,47,34
3/29/17 03:53PM,41,73,46,35
3/29/17 04:53PM,39.9,79,45,35
3/29/17 05:53PM,39,82,45,35
3/29/17 06:53PM,39,79,45,35
3/29/17 07:53PM,37.9,86,44,36
3/29/17 08:53PM,39,86,45,35
3/29/17 09:53PM,39,89,45,35
3/29/17 10:53PM,39.9,86,45,35
3/29/17 11:53PM,41,82,45,35
3/30/17 12:53AM,39,86,45,35
3/30/17 01:53AM,39,82,47,34
3/30/17 02:53AM,37.9,86,47,34
3/30/17 03:53AM,37.9,89,46,35
3/30/17 04:28AM,37.9,89,47,34
3/30/17 04:38AM,37.9,89,46,35
3/30/17 04:48AM,37.4,93,47,34
